optimizer,gd_variant,batch_size,epochs,train_accuracy,test_accuracy,train_loss,test_loss,training_time_s
RMSprop,Stochastic (batch=1),1,1,0.9500666856765747,0.9483000040054321,0.41368141770362854,0.4293369650840759,189.0
RMSprop,Mini-Batch (batch=32),32,15,0.9991499781608582,0.98089998960495,0.002326186280697584,0.14667637646198273,112.7
RMSprop,Batch (batch=all),60000,15,0.867733359336853,0.8733999729156494,0.48575034737586975,0.46683016419410706,9.3
Adam,Stochastic (batch=1),1,1,0.9159833192825317,0.9089000225067139,0.3606106638908386,0.4025694727897644,194.2
Adam,Mini-Batch (batch=32),32,15,0.9970999956130981,0.9817000031471252,0.009833499789237976,0.12000922858715057,135.0
Adam,Batch (batch=all),60000,15,0.8935666680335999,0.8950999975204468,0.3630754053592682,0.35559719800949097,9.9
