optimizer,gd_variant,best_learning_rate,test_accuracy,test_loss
RMSprop,Stochastic,0.0005,0.9646999835968018,0.2117181122303009
RMSprop,Mini-Batch,0.001,0.9847000241279602,0.11574915796518326
RMSprop,Batch,0.0005,0.8603000044822693,0.5627890825271606
Adam,Stochastic,0.0001,0.9742000102996826,0.0867004543542862
Adam,Mini-Batch,0.0005,0.9829000234603882,0.08834049105644226
Adam,Batch,0.005,0.9212999939918518,0.26614999771118164
