optimizer,train_accuracy,test_accuracy,train_loss,test_loss,training_time_s
RMSprop,0.9989166855812073,0.9833999872207642,0.0035001933574676514,0.13361841440200806,134.11851334571838
Adam,0.9975500106811523,0.9807000160217285,0.007422816939651966,0.1031477078795433,146.04281520843506
